Rk,Player,Age,Team,Lg,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Pos,Awards,Player-additional
180,Noelvi Marté,23,CIN,NL,360,1,2,0,0,-1,3,0.3,12,15,1.4,0.503,0.502,1.4,-0.1,15,95/H8D,,marteno01
181,Pedro Pagés,26,STL,NL,389,-12,-2,0,7,7,1,0.1,13,15,1.4,0.501,0.501,0.7,1.5,7,*2/34,,pagespe02
182,Bryan Reynolds#,30,PIT,NL,654,-1,0,0,1,-7,-6,-0.7,22,16,1.4,0.496,0.496,1.4,-0.6,15,*9D/H,,reynobr01
183,Luis Robert Jr.,27,CHW,AL,431,-6,2,1,0,3,-1,0.0,15,14,1.4,0.499,0.500,1.4,0.3,14,8/DH,,roberlu01
184,Luis Torrens,29,NYM,NL,283,-7,-2,0,9,5,5,0.5,10,14,1.4,0.505,0.503,0.4,1.4,5,2H/1D3,,torrelu01
185,Jacob Young,25,WSN,NL,364,-12,-2,0,13,3,2,0.2,12,14,1.4,0.502,0.501,0.0,1.6,1,*8H/D,,youngja03
186,Adam Frazier*,33,2TM,2LG,459,-5,1,0,3,0,-1,-0.1,16,15,1.4,0.499,0.499,1.1,0.4,11,47H9/D5,,fraziad01
186,Adam Frazier*,33,PIT,NL,262,-5,0,-1,0,1,-5,-0.5,9,4,0.3,0.493,0.497,0.3,0.1,4,47H/9,,fraziad01
186,Adam Frazier*,33,KCR,AL,197,0,1,1,3,-1,4,0.4,7,11,1.1,0.507,0.502,0.7,0.3,8,47/DH59,,fraziad01
187,Nolan Arenado,34,STL,NL,436,-7,-1,-1,6,3,-1,-0.1,15,14,1.3,0.499,0.499,0.7,0.9,8,5/DH,,arenano01
188,Liam Hicks*,26,MIA,NL,390,-1,2,-1,-1,1,0,0.0,13,14,1.3,0.500,0.500,1.4,0.0,15,23HD,,hicksli01
189,Chase Meidroth,23,CHW,AL,505,-6,0,-1,-3,7,-4,-0.4,17,13,1.3,0.496,0.497,1.6,0.4,16,64/H,,meidrch01
190,Lars Nootbaar*,27,STL,NL,583,-4,2,1,1,-4,-5,-0.5,19,15,1.3,0.496,0.497,1.2,-0.3,13,*798/HD,,nootbla01
191,Austin Riley,28,ATL,NL,447,2,-2,-1,-2,3,-1,-0.1,15,14,1.3,0.499,0.500,1.5,0.1,16,5,,rileyau01
192,Nolan Schanuel*,23,LAA,AL,564,5,0,1,-5,-6,-5,-0.5,19,14,1.3,0.496,0.496,1.8,-1.1,19,*3,,schanno01
193,Davis Schneider,26,TOR,AL,227,7,1,-1,-1,-1,5,0.6,8,13,1.3,0.507,0.503,1.4,-0.2,14,74H/5D,,schneda03
194,Tyler Stephenson,28,CIN,NL,342,0,-2,0,1,4,2,0.2,12,14,1.3,0.502,0.501,1.2,0.5,13,2D/H,,stephty01
195,Ben Williamson,24,SEA,AL,295,-8,0,1,8,2,2,0.3,10,12,1.3,0.503,0.502,0.4,1.1,4,5/H,,willibe03
196,Jesús Sánchez*,27,2TM,2LG,497,-5,-2,1,7,-4,-3,-0.3,17,14,1.3,0.497,0.499,0.6,0.3,7,*97H8/D,,sanchje02
196,Jesús Sánchez*,27,MIA,NL,337,1,-1,0,3,-3,0,0.0,12,12,1.1,0.500,0.500,0.8,0.0,9,9H8/D7,,sanchje02
196,Jesús Sánchez*,27,HOU,AL,160,-6,0,1,4,-2,-3,-0.3,5,2,0.2,0.493,0.498,-0.2,0.2,-2,79/HD,,sanchje02
197,Jo Adell,26,LAA,AL,573,8,0,-1,-14,0,-7,-0.7,20,12,1.2,0.495,0.495,2.6,-1.4,26,*89/HD,,adelljo01
198,Luis Arráez*,28,SDP,NL,675,-2,0,1,1,-8,-8,-0.9,22,14,1.2,0.495,0.495,1.2,-0.7,13,*3D4/H,,arraelu01
199,Addison Barger*,25,TOR,AL,502,0,-2,0,-3,0,-5,-0.5,17,12,1.2,0.496,0.497,1.5,-0.3,15,59H/D,,bargead01
200,Paul Goldschmidt,37,NYY,AL,534,2,-1,-1,-1,-6,-6,-0.6,18,12,1.2,0.496,0.496,1.3,-0.7,13,*3H/D8,,goldspa01
201,Ryan Jeffers,28,MIN,AL,464,5,-2,-1,-9,4,-4,-0.3,16,12,1.2,0.497,0.498,2.1,-0.5,21,2D/H,,jeffery01
202,Edgar Quero#,22,CHW,AL,403,-2,-3,-1,1,3,-2,-0.1,14,12,1.2,0.499,0.499,1.1,0.4,11,2DH,,queroed01
203,Heliot Ramos,25,SFG,NL,695,5,-1,-2,-6,-5,-9,-0.9,23,14,1.2,0.494,0.495,1.9,-1.2,20,*7/DH,,ramoshe02
204,Rob Refsnyder,34,BOS,AL,209,8,0,-1,0,-3,4,0.5,7,11,1.2,0.506,0.503,1.1,-0.3,11,9HD7,,refsnro01
205,Matt Thaiss*,30,2TM,AL,190,-2,0,0,4,3,5,0.5,6,11,1.2,0.509,0.502,0.7,0.8,7,2/H3D,,thaisma01
205,Matt Thaiss*,30,CHW,AL,110,1,0,0,4,2,7,0.7,4,10,1.1,0.520,0.504,0.6,0.6,6,2/H3D,,thaisma01
205,Matt Thaiss*,30,TBR,AL,80,-3,0,0,0,1,-2,-0.2,3,1,0.1,0.493,0.499,0.1,0.2,1,2/3H,,thaisma01
206,Carlos Santana#,39,2TM,2LG,474,-12,2,1,12,-7,-5,-0.5,16,11,1.1,0.496,0.498,-0.2,0.6,-1,3D/H5,,santaca01
206,Carlos Santana#,39,CLE,AL,455,-9,2,1,11,-6,-2,-0.2,16,13,1.3,0.498,0.498,0.1,0.5,2,3D/H5,,santaca01
206,Carlos Santana#,39,CHC,NL,19,-3,0,0,1,0,-3,-0.3,1,-2,-0.2,0.467,0.498,-0.3,0.1,-3,/3DH,,santaca01
207,Miguel Amaya,26,CHC,NL,103,5,0,1,0,2,7,0.7,4,11,1.1,0.527,0.505,1.1,0.2,11,2/DH,,amayami01
208,Gabriel Arias,25,CLE,AL,471,-16,1,0,3,7,-5,-0.5,16,11,1.1,0.496,0.497,0.7,1.1,8,64/5H,,ariasga01
209,Patrick Bailey#,26,SFG,NL,452,-16,-1,0,5,8,-3,-0.3,15,12,1.1,0.498,0.498,0.6,1.4,7,*2H/D,GG,bailepa01
210,Tommy Edman#,30,LAD,NL,377,-5,1,1,-1,3,-1,-0.1,13,12,1.1,0.499,0.499,1.2,0.2,13,485/HD,,edmanto01
211,Andrés Giménez*,26,TOR,AL,369,-15,0,1,9,4,-2,-0.1,13,11,1.1,0.498,0.499,0.1,1.4,2,46/H,,gimenan01
212,Jurickson Profar#,32,ATL,NL,371,11,1,0,-9,-3,1,0.1,12,12,1.1,0.501,0.500,2.1,-1.2,21,7/D,,profaju01
213,Derek Hill,29,2TM,2LG,149,-6,2,0,8,1,6,0.6,5,11,1.1,0.510,0.502,0.2,0.9,3,8/HD,,hillde01
213,Derek Hill,29,MIA,NL,141,-6,2,0,6,1,4,0.4,5,9,0.8,0.507,0.502,0.2,0.7,3,8/HD,,hillde01
213,Derek Hill,29,CHW,AL,8,0,0,0,2,0,2,0.2,0,2,0.2,0.553,0.501,0.0,0.2,0,/8H,,hillde01
214,Austin Wynns,34,2TM,2LG,110,4,-1,0,2,2,7,0.7,4,11,1.1,0.518,0.502,0.9,0.4,9,2/H3D,,wynnsau01
214,Austin Wynns,34,CIN,NL,43,5,0,0,0,1,6,0.6,1,7,0.7,0.532,0.504,0.7,0.1,7,2/H3D,,wynnsau01
214,Austin Wynns,34,ATH,AL,67,-1,0,0,2,1,1,0.2,2,4,0.4,0.507,0.501,0.2,0.4,2,2/H,,wynnsau01
215,Kody Clemens*,29,2TM,2LG,386,-5,0,1,4,-2,-3,-0.2,13,11,1.0,0.498,0.499,0.6,0.2,7,34H79/18D,,clemeko01
215,Kody Clemens*,29,PHI,NL,7,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.482,0.499,-0.1,0.0,-1,/H47D,,clemeko01
215,Kody Clemens*,29,MIN,AL,379,-4,0,0,4,-2,-1,-0.1,13,12,1.2,0.499,0.499,0.7,0.2,8,3497H/18,,clemeko01
216,Dylan Beavers*,23,BAL,AL,137,4,0,0,2,-1,5,0.5,5,10,1.0,0.515,0.503,0.7,0.1,7,79/H,,beavedy01
217,Andrew Benintendi*,30,CHW,AL,470,3,-1,1,-3,-6,-6,-0.6,16,10,1.0,0.495,0.496,1.3,-0.9,13,7D/H,,beninan01
218,Denzel Clarke,25,ATH,AL,159,-5,1,0,7,1,4,0.5,5,10,1.0,0.510,0.503,0.2,0.9,3,8/H,,clarkde02
219,Colton Cowser*,25,BAL,AL,360,-9,0,0,6,0,-2,-0.2,12,10,1.0,0.497,0.499,0.3,0.7,4,87/9HD,,cowseco01
220,David Hamilton*,27,BOS,AL,194,-9,1,0,9,2,3,0.3,7,10,1.0,0.504,0.502,0.0,1.2,1,4H6/D5,,hamilda03
221,Michael Helman,29,TEX,AL,110,2,1,0,2,1,6,0.7,4,10,1.0,0.518,0.504,0.8,0.3,8,8/H6,,helmami01
222,Jackson Holliday*,21,BAL,AL,649,-2,-4,2,-11,5,-11,-1.0,21,11,1.0,0.493,0.493,2.1,-0.6,22,*4/6DH,,hollija01
223,Starling Marte,36,NYM,NL,329,4,0,1,2,-7,0,-0.1,11,11,1.0,0.500,0.500,0.8,-0.6,9,DH/79,,martest01
224,James McCann,35,ARI,NL,137,1,-1,0,3,3,6,0.6,5,10,1.0,0.514,0.504,0.7,0.6,7,2/H3,,mccanja02
225,Tommy Pham,37,PIT,NL,449,-1,-2,-1,4,-4,-4,-0.4,15,12,1.0,0.497,0.498,0.7,0.0,8,*7/H9D,,phamth01
226,Tyrone Taylor,31,NYM,NL,341,-12,1,0,8,2,-1,-0.1,12,11,1.0,0.500,0.500,0.2,1.0,3,*8H/79,,tayloty01
227,Ty France,30,2TM,AL,490,-6,-2,-2,9,-6,-6,-0.6,17,11,1.0,0.495,0.497,0.0,0.4,1,*3H/D4,GG,francty01
227,Ty France,30,MIN,AL,387,-4,-2,-1,6,-4,-5,-0.5,13,8,0.8,0.494,0.497,0.1,0.2,2,3/H4,,francty01
227,Ty France,30,TOR,AL,103,-2,0,0,3,-2,-1,-0.1,4,3,0.2,0.497,0.499,-0.1,0.2,-1,3H/D,,francty01
228,Jordan Beck,24,COL,NL,588,-4,-1,-1,1,-5,-10,-1.0,20,11,0.9,0.493,0.494,0.8,-0.4,9,*7H/D8,,beckjo01
229,Jake Burger,29,TEX,AL,376,0,0,1,1,-6,-4,-0.4,13,9,0.9,0.496,0.497,0.7,-0.5,8,3DH,,burgeja01
230,Victor Caratini#,31,HOU,AL,386,0,0,-1,-4,0,-4,-0.4,13,9,0.9,0.496,0.497,1.3,-0.4,13,2DH3,,caratvi01
231,Tyler Fitzgerald,27,SFG,NL,243,-7,-1,0,7,2,1,0.1,8,9,0.9,0.501,0.500,0.1,0.9,2,4/H9,,fitzgty01
232,Sam Haggerty#,31,TEX,AL,182,5,1,0,-2,-2,2,0.3,6,9,0.9,0.504,0.502,1.1,-0.4,11,H78D/49,,haggesa01
233,Heriberto Hernández,25,MIA,NL,294,6,-1,0,0,-5,0,0.0,10,10,0.9,0.500,0.500,0.9,-0.5,10,7D9H,ROY-13,hernahe01
234,Rhys Hoskins,32,MIL,NL,328,3,-2,-1,2,-4,-2,-0.2,11,10,0.9,0.498,0.499,0.7,-0.2,8,3/HD,,hoskirh01
235,Jahmai Jones,27,DET,AL,150,10,1,0,-3,-4,4,0.4,5,9,0.9,0.505,0.502,1.2,-0.7,12,HD97/4,,jonesja08
236,Nacho Alvarez Jr.,22,ATL,NL,208,-6,0,1,5,1,1,0.1,7,8,0.8,0.502,0.501,0.3,0.7,3,5/H,,alvarna01
237,José Fermín,26,STL,NL,70,3,-1,0,3,0,5,0.6,2,8,0.8,0.519,0.503,0.5,0.3,5,4/H579D,,fermijo01
238,Brett Harris,27,ATH,AL,84,0,0,0,5,0,5,0.6,3,8,0.8,0.517,0.503,0.3,0.6,3,5/3H,,harribr02
239,Austin Hays,29,CIN,NL,416,0,3,-1,-2,-5,-5,-0.6,14,9,0.8,0.495,0.497,1.0,-0.8,11,7D/H,,haysau01
240,Carter Jensen*,21,KCR,AL,69,5,0,0,0,0,5,0.5,2,7,0.8,0.526,0.503,0.7,0.0,7,2D/H,,jenseca01
241,Daylen Lile*,22,WSN,NL,351,17,-3,0,-14,-4,-4,-0.4,12,9,0.8,0.496,0.498,2.2,-1.8,23,97D/H,ROY-5,lileda01
242,Andruw Monasterio,28,MIL,NL,135,2,-1,0,1,1,3,0.3,5,8,0.8,0.505,0.502,0.7,0.2,7,63H4/57,,monasan01
243,Wenceel Pérez#,25,DET,AL,383,-1,-2,1,-1,-2,-5,-0.5,13,8,0.8,0.495,0.497,0.8,-0.3,9,98/H7D,,perezwe01
244,Leo Rivas#,27,SEA,AL,111,3,1,0,-1,1,4,0.4,4,8,0.8,0.508,0.502,0.9,0.0,9,4H/6D5179,,rivasle01
245,Keibert Ruiz#,26,WSN,NL,267,-8,-2,1,5,5,0,0.0,9,9,0.8,0.500,0.500,0.3,1.0,4,2/H,,ruizke01
246,Lenyn Sosa,25,CHW,AL,544,1,1,-2,-10,0,-10,-1.0,19,8,0.8,0.492,0.493,1.8,-1.0,18,43D/H5,,sosale01
247,Miguel Andujar,30,2TM,2LG,341,9,-2,0,-7,-3,-3,-0.3,12,9,0.8,0.497,0.498,1.5,-1.0,16,57DH/39,,andujmi01
247,Miguel Andujar,30,ATH,AL,231,2,0,0,-7,0,-6,-0.6,8,2,0.2,0.490,0.496,0.9,-0.8,9,57/H9D3,,andujmi01
247,Miguel Andujar,30,CIN,NL,110,7,-2,0,0,-2,3,0.3,4,6,0.6,0.508,0.502,0.6,-0.3,6,DH/37,,andujmi01
